City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,makhachkala,42.98,47.5,41.0,93,90,4.47,RU,1609365944
1,jiblah,13.92,44.15,57.69,85,23,4.65,YE,1609366061
2,rikitea,-23.12,-134.97,78.3,76,0,11.92,PF,1609366061
3,qaanaaq,77.48,-69.36,8.08,73,67,13.29,GL,1609366061
4,hermanus,-34.42,19.23,64.0,80,4,10.71,ZA,1609366061
5,cape town,-33.93,18.42,66.99,68,0,4.7,ZA,1609366061
6,longyearbyen,78.22,15.64,28.4,79,75,1.79,SJ,1609366062
7,los llanos de aridane,28.66,-17.92,62.6,88,75,8.05,ES,1609365991
8,ushuaia,-54.8,-68.3,55.4,47,75,3.36,AR,1609366062
9,souillac,-20.52,57.52,77.0,88,75,17.22,MU,1609366063
10,punta arenas,-53.15,-70.92,55.4,58,75,18.34,CL,1609365841
11,kichmengskiy gorodok,59.98,45.79,4.23,94,81,4.56,RU,1609366063
12,clyde river,70.47,-68.59,-11.2,83,75,3.36,CA,1609366063
13,luau,-10.71,22.22,66.09,97,91,3.65,AO,1609366063
14,puerto ayora,-0.74,-90.35,84.2,51,0,19.46,EC,1609366065
15,makakilo city,21.35,-158.09,82.4,48,1,8.05,US,1609366065
16,krutinka,56.01,71.51,-22.36,86,39,10.18,RU,1609366065
17,bosaso,11.28,49.18,73.78,70,5,8.93,SO,1609365940
18,tasiilaq,65.61,-37.64,15.8,61,27,5.82,GL,1609366066
19,port hardy,50.7,-127.42,46.4,87,90,32.21,CA,1609366066
20,thompson,55.74,-97.86,6.8,92,90,2.24,CA,1609366066
21,busselton,-33.65,115.33,72.0,52,0,3.0,AU,1609365808
22,lebu,-37.62,-73.65,58.06,68,0,22.7,CL,1609366067
23,hithadhoo,-0.6,73.08,81.9,77,38,8.88,MV,1609366067
24,bocana de paiwas,12.79,-85.12,79.34,80,100,5.44,NI,1609366067
25,jamestown,42.1,-79.24,39.99,86,90,13.87,US,1609365874
26,rocha,-34.48,-54.33,74.86,51,98,6.46,UY,1609366068
27,iqaluit,63.75,-68.51,6.8,65,75,4.7,CA,1609366068
28,adigeni,41.68,42.7,50.0,39,0,19.46,GE,1609366068
29,kuytun,54.34,101.5,-17.63,84,82,1.12,RU,1609366068
30,avarua,-21.21,-159.78,84.2,79,68,5.82,CK,1609366069
31,namibe,-15.2,12.15,70.54,74,90,5.64,AO,1609366070
32,mecca,21.43,39.83,75.58,73,6,3.2,SA,1609365913
33,bethel,41.37,-73.41,34.0,43,1,6.93,US,1609366070
34,kapaa,22.08,-159.32,80.6,61,40,14.99,US,1609366071
35,georgetown,5.41,100.34,77.0,94,20,6.53,MY,1609365966
36,do gonbadan,30.36,50.8,48.2,87,0,0.54,IR,1609366074
37,den helder,52.96,4.76,42.01,93,75,3.36,NL,1609366074
38,shahdadkot,27.85,67.91,52.45,34,97,2.91,PK,1609366075
39,lompoc,34.64,-120.46,61.0,54,1,17.22,US,1609366075
40,chuy,-33.7,-53.46,71.55,90,97,6.17,UY,1609366075
41,bredasdorp,-34.53,20.04,59.0,82,5,2.24,ZA,1609366000
42,mar del plata,-38.0,-57.56,68.0,49,75,17.22,AR,1609365813
43,luanda,-8.84,13.23,80.6,78,20,8.05,AO,1609365980
44,omboue,-1.57,9.26,77.63,91,100,6.64,GA,1609366076
45,bathsheba,13.22,-59.52,80.6,78,40,5.82,BB,1609366077
46,nome,64.5,-165.41,23.0,67,1,10.29,US,1609366077
47,caravelas,-17.71,-39.25,76.39,81,0,7.65,BR,1609366077
48,grande prairie,55.17,-118.8,10.4,85,75,5.82,CA,1609366025
49,lodja,-3.48,23.43,70.12,95,100,1.21,CD,1609366078
50,kozlovka,55.84,48.25,17.6,92,75,6.71,RU,1609366078
51,port alfred,-33.59,26.89,68.0,92,18,2.66,ZA,1609366078
52,east london,-33.02,27.91,70.05,81,72,8.39,ZA,1609366079
53,nanortalik,60.14,-45.24,31.3,93,100,23.09,GL,1609366079
54,mahebourg,-20.41,57.7,77.0,88,75,17.22,MU,1609366080
55,saint-augustin,51.23,-58.65,11.07,85,68,17.56,CA,1609366080
56,pisco,-13.7,-76.22,70.0,83,40,8.05,PE,1609366080
57,ponta do sol,32.67,-17.1,59.0,82,75,10.29,PT,1609366081
58,harur,12.07,78.5,70.32,91,98,3.02,IN,1609366081
59,cabo san lucas,22.89,-109.91,70.0,48,5,21.92,MX,1609366081
60,hualmay,-11.1,-77.61,72.05,75,58,7.11,PE,1609366081
61,ketchikan,55.34,-131.65,41.0,80,1,11.41,US,1609366081
62,barrow,71.29,-156.79,-9.4,69,20,16.11,US,1609366021
63,riyadh,24.69,46.72,50.0,81,0,2.24,SA,1609365960
64,ribeira grande,38.52,-28.7,57.2,71,20,13.87,PT,1609366082
65,takoradi,4.88,-1.76,80.64,84,58,9.35,GH,1609366083
66,acapulco,16.86,-99.89,82.4,61,20,9.17,MX,1609365986
